id,workout_type,elapsed_time,average_watts,max_watts,weighted_average_watts,kilojoules,gear_id,pr_count,suffer_score,device_name,location_city,location_state,achievement_count,kudos_count,strain,calories
13017703249,,2522,,,,,g7385283,0,,,,,0,2,,
12996100502,30.0,3501,,,,,,0,,,,,0,1,,
12990199866,30.0,4883,,,,,,0,,,,,0,6,,
12983013258,30.0,3904,,,,,,0,,,,,0,5,,
12955516981,30.0,3043,,,,,,0,,,,,0,2,,
12948214600,,3020,,,,,g7385283,0,,,,,0,3,,
12940271400,30.0,3785,,,,,,0,,,,,0,1,,
12932896416,30.0,2624,,,,,,0,,,,,0,3,,
12923831091,0.0,4522,,,,,g7385283,0,,,,,0,5,,
12915650048,30.0,4037,,,,,,0,,,,,0,6,,
12909550939,0.0,1757,196.3,234.0,194.0,341.2,g7385283,0,,,,,0,7,,
12887276673,30.0,2411,,,,,,0,,,,,0,1,,
12879345590,,3773,,,,,,0,,,,,0,3,,
12876357056,30.0,4556,,,,,,0,,,,,0,2,,
12871530299,30.0,2371,,,,,,0,,,,,0,2,,
12861286797,0.0,11257,183.2,288.0,184.0,1469.6,g7385283,7,,,,,18,10,,
12847879464,30.0,3694,,,,,,0,,,,,0,1,,
12840675929,,699,187.6,216.0,174.0,112.2,g7385283,0,,,,,0,2,,
12844444361,,1639,,,,,g7385283,0,,,,,0,2,,
12832515848,30.0,3188,,,,,,0,,,,,0,2,,
12824433237,0.0,758,165.3,255.0,161.0,121.2,g7385283,0,,,,,0,1,,
12824255186,30.0,3771,,,,,,0,,,,,0,1,,
12814801230,0.0,7472,179.3,282.0,179.0,1331.4,g7385283,2,,,,,8,9,,
12792852970,,550,203.0,316.0,205.0,110.6,g7385283,0,,,,,0,4,,
12786000000,0.0,553,201.5,244.0,197.0,110.4,g7385283,0,,,,,0,6,,
12776565768,30.0,3732,,,,,,0,,,,,0,2,,
12768856049,0.0,3716,179.3,238.0,178.0,660.6,g7385283,1,,,,,2,8,,
12710164387,30.0,4456,,,,,,0,,,,,0,3,,
12693608030,0.0,6348,,,,,g7385283,0,,,,,5,7,,
12692429720,,3308,,,,,,0,,,,,0,2,,
12692429685,30.0,3488,,,,,,0,,,,,0,2,,
12681480608,,1923,180.8,252.0,181.0,342.7,g7385283,0,,,,,0,3,,
12680100826,30.0,4521,,,,,,0,,,,,0,0,,
12661470009,,1854,183.5,388.0,183.0,338.1,g7385283,0,,,,,0,5,,
12661469818,30.0,3123,,,,,,0,,,,,0,1,,
12640473673,0.0,4914,179.6,275.0,179.0,873.4,g7385283,6,,,,,19,5,,
12630208768,30.0,4179,,,,,,0,,,,,0,0,,
12855464592,,877,,,,,g7385283,0,,,,,0,0,,
12625969203,,3219,177.4,269.0,175.0,554.6,g7385283,0,,,,,0,6,,
12625969149,30.0,4523,,,,,,0,,,,,0,2,,
12615506121,30.0,3714,,,,,,0,,,,,0,0,,
12594402890,,3047,,,,,,0,,,,,0,2,,
12584654402,,2528,,,,,g7385283,1,,,,,3,1,,
12580807481,30.0,3291,,,,,,0,,,,,0,1,,
12571954762,30.0,3129,,,,,,0,,,,,0,1,,
12571954816,,2468,,,,,g7385283,0,,,,,0,2,,
12542508720,30.0,2833,,,,,,0,,,,,0,1,,
12502277432,30.0,3523,,,,,,0,,,,,0,1,,
12496581967,,3290,,,,,g7385283,3,,,,,9,3,,
12488069569,,2936,,,,,g7385283,0,,,,,0,1,,
12488684223,,3080,,,,,,0,,,,,0,1,,
12485802044,30.0,3882,,,,,,0,,,,,0,1,,
12484582480,30.0,3667,,,,,,0,,,,,0,0,,
12471667558,,5161,,,,,,0,,,,,0,0,,
12468904947,,519,,,,,g7385283,0,,,,,0,3,,
12468904962,,1889,,,,,g7385283,2,,,,,6,4,,
12468904693,,2620,,,,,,0,,,,,0,1,,
12468904689,30.0,3941,,,,,,0,,,,,0,1,,
12451892725,30.0,3000,,,,,,0,,,,,0,2,,
12451871165,,580,,,,,g7385283,0,,,,,0,4,,
12451871156,30.0,3937,,,,,,0,,,,,0,1,,
12402102195,30.0,2862,,,,,,0,,,,,0,1,,
12396453568,,703,,,,,g7385283,0,,,,,0,3,,
12396453488,30.0,3020,,,,,,0,,,,,0,1,,
12353529018,2.0,4331,,,,,g7385283,0,,,,,2,4,,
12353528580,30.0,3944,,,,,,0,,,,,0,1,,
12349500193,,2269,,,,,,0,,,,,0,1,,
12349500198,30.0,3204,,,,,,0,,,,,0,1,,
12328849957,,1462,,,,,g7385283,0,,,,,0,3,,
12328849847,30.0,2590,,,,,,0,,,,,0,1,,
12309397056,,801,,,,,,0,,,,,0,0,,
12308313759,30.0,4258,,,,,,0,,,,,0,0,,
12293549353,,596,,,,,g7385283,0,,,,,0,2,,
12293549348,,553,,,,,g7385283,0,,,,,0,1,,
12293549352,,523,,,,,g7385283,0,,,,,0,1,,
12293549121,30.0,3460,,,,,,0,,,,,0,0,,
12293549405,,4547,,,,,g7385283,0,,,,,0,2,,
12293549343,30.0,2724,,,,,,0,,,,,0,0,,
12249906370,30.0,2400,,,,,,0,,,,,0,0,,
12249920004,30.0,2700,,,,,,0,,,,,0,0,,
12231323192,28.0,3891,,,,,,0,,,,,0,1,,
12199898348,30.0,3175,,,,,,0,,,,,0,0,,
