activity_id,hr_avg,hr_min,hr_max,hr_median,first_half_avg,second_half_avg,cardiac_drift,pct_over_150,pct_over_160,pct_over_170
14315900431,143.9,96,166,144,139.5,148.2,8.7,15.9,4.6,0.0
14282207832,102.5,80,128,101,102.4,102.7,0.4,0.0,0.0,0.0
14276670215,143.3,101,161,144,139.8,146.8,7.0,23.0,0.1,0.0
14276670247,109.3,95,117,109,110.1,108.4,-1.7,0.0,0.0,0.0
14275507057,114.5,82,140,115,110.6,118.3,7.7,0.0,0.0,0.0
14266884140,145.0,108,157,146,140.7,149.0,8.3,25.2,0.0,0.0
14266456727,102.6,71,133,103,97.2,108.0,10.8,0.0,0.0,0.0
14244241424,117.1,94,147,115,118.9,115.4,-3.6,0.0,0.0,0.0
14234954011,125.6,89,151,131,115.2,136.1,20.9,0.4,0.0,0.0
14223690099,121.5,84,159,120,120.4,122.5,2.1,1.5,0.0,0.0
14217839996,148.9,111,169,154,155.5,142.4,-13.1,58.9,14.2,0.0
14207115812,112.5,78,153,112,105.4,119.4,13.9,0.3,0.0,0.0
14197930547,115.6,80,152,115,116.1,115.1,-1.0,0.9,0.0,0.0
14178358884,119.7,92,155,119,123.2,116.2,-7.0,0.3,0.0,0.0
14176340568,144.1,87,159,146,141.0,147.4,6.4,15.9,0.0,0.0
14171061768,115.8,91,152,115,109.1,122.3,13.1,0.1,0.0,0.0
14147444176,110.0,81,145,109,109.2,110.8,1.7,0.0,0.0,0.0
14139100693,116.0,82,145,115,117.3,114.7,-2.6,0.0,0.0,0.0
14128445670,129.0,92,140,132,129.7,128.3,-1.4,0.0,0.0,0.0
14118720885,115.2,78,148,115,108.5,121.7,13.2,0.0,0.0,0.0
14107952807,110.4,79,142,110,109.9,110.8,0.9,0.0,0.0,0.0
14100157192,116.2,82,152,116,112.1,120.4,8.3,0.2,0.0,0.0
14078606439,107.9,68,136,109,103.6,112.1,8.5,0.0,0.0,0.0
14072859761,137.7,118,161,138,135.3,139.9,4.6,5.8,0.3,0.0
14072332711,122.7,86,151,122,120.6,124.7,4.1,0.2,0.0,0.0
14072332730,110.0,84,136,110,110.1,110.0,-0.1,0.0,0.0,0.0
14022158700,112.7,80,141,113,109.3,116.0,6.7,0.0,0.0,0.0
14020985898,138.5,109,159,139,134.3,142.7,8.4,15.2,0.0,0.0
14012268955,109.2,73,133,109,106.6,111.8,5.2,0.0,0.0,0.0
14021026359,121.0,85,149,122,117.8,124.0,6.2,0.0,0.0,0.0
13997125177,105.7,83,138,104,102.6,108.6,5.9,0.0,0.0,0.0
13987110287,149.8,105,162,151,149.3,150.2,0.9,56.6,2.1,0.0
14021026744,107.7,74,152,106,104.7,110.6,5.8,0.6,0.0,0.0
13959681716,120.2,85,150,121,119.7,120.8,1.0,0.0,0.0,0.0
13931306670,129.9,106,153,129,130.7,129.1,-1.6,1.0,0.0,0.0
13921053043,112.0,72,140,113,107.4,116.6,9.2,0.0,0.0,0.0
13921053025,103.3,79,144,101,104.2,102.4,-1.9,0.0,0.0,0.0
13901297966,121.3,83,149,122,118.8,123.7,4.9,0.0,0.0,0.0
13890103887,111.4,86,134,110,107.5,115.2,7.7,0.0,0.0,0.0
13881957918,103.2,66,145,105,94.8,111.6,16.8,0.0,0.0,0.0
13874096786,137.5,122,145,139,134.9,140.1,5.2,0.0,0.0,0.0
13867594963,93.8,78,118,90,108.6,88.5,-20.0,0.0,0.0,0.0
13865146077,115.6,72,155,116,111.5,119.8,8.2,0.5,0.0,0.0
14021027594,97.8,82,113,98,95.1,98.6,3.6,0.0,0.0,0.0
13856065812,106.5,73,138,107,100.2,112.7,12.5,0.0,0.0,0.0
13852846114,109.0,78,144,109,105.3,112.8,7.6,0.0,0.0,0.0
13843540591,115.7,77,146,114,112.5,118.9,6.4,0.0,0.0,0.0
13837662834,101.4,85,117,101,101.7,101.2,-0.5,0.0,0.0,0.0
13817691480,113.8,93,144,112,115.0,112.7,-2.4,0.0,0.0,0.0
13808862290,107.7,67,146,108,98.5,117.0,18.6,0.0,0.0,0.0
13808867113,107.0,76,136,106,105.8,108.2,2.4,0.0,0.0,0.0
13760961245,157.3,144,167,157,156.1,158.6,2.5,93.5,27.2,0.0
13755571146,100.9,78,122,103,104.5,97.4,-7.1,0.0,0.0,0.0
13753723052,102.4,76,130,101,95.3,109.4,14.2,0.0,0.0,0.0
13753723053,110.6,80,143,111,108.6,112.8,4.2,0.0,0.0,0.0
13715282913,110.8,74,139,110,108.3,113.3,5.0,0.0,0.0,0.0
13708981582,106.7,80,137,106,104.9,108.5,3.6,0.0,0.0,0.0
13708981578,110.4,85,139,109,105.0,115.7,10.7,0.0,0.0,0.0
13680092856,108.8,72,140,110,106.4,111.1,4.8,0.0,0.0,0.0
13662354290,102.0,59,143,105,89.4,114.4,25.0,0.0,0.0,0.0
13654667646,112.0,81,144,112,105.3,118.8,13.5,0.0,0.0,0.0
13646818408,105.1,77,142,103,103.0,107.2,4.2,0.0,0.0,0.0
13636205442,103.0,76,135,104,95.3,110.6,15.3,0.0,0.0,0.0
13612115135,109.9,80,142,110,104.7,115.0,10.3,0.0,0.0,0.0
13603274121,101.1,73,152,103,92.3,110.0,17.7,0.1,0.0,0.0
13565965161,145.0,128,157,145,139.5,150.5,11.0,31.1,0.0,0.0
13555004085,106.9,83,136,105,101.5,112.1,10.6,0.0,0.0,0.0
13548374714,139.0,110,151,143,134.7,143.3,8.5,10.2,0.0,0.0
13496516778,108.6,72,143,108,105.3,111.9,6.7,0.0,0.0,0.0
13496523900,114.4,88,143,115,109.6,119.3,9.7,0.0,0.0,0.0
13473798817,107.6,81,142,107,104.0,111.3,7.3,0.0,0.0,0.0
13442642866,108.5,83,131,110,104.5,112.5,8.0,0.0,0.0,0.0
13435924499,113.1,94,144,111,113.0,113.3,0.3,0.0,0.0,0.0
13418365614,116.3,94,147,116,116.2,116.5,0.3,0.0,0.0,0.0
13406931788,112.3,90,142,113,110.9,113.6,2.7,0.0,0.0,0.0
13391658034,116.9,94,144,118,114.9,118.8,3.9,0.0,0.0,0.0
13344958182,117.8,84,147,119,109.8,125.8,16.1,0.0,0.0,0.0
13335950867,126.4,102,152,126,123.2,129.6,6.4,0.2,0.0,0.0
